,tag,t,z,mass,width
880,1.00,451.00,403.12,876886.00,5512.75
882,1.00,452.00,402.04,687111.00,4609.76
884,1.00,453.00,402.25,509347.00,4047.68
886,1.00,454.00,403.43,466133.00,3768.06
888,1.00,455.00,404.11,428617.00,3453.49
890,1.00,456.00,402.68,461387.00,3476.88
892,1.00,457.00,402.11,556724.00,4305.50
894,1.00,458.00,402.08,546555.00,4264.11
896,1.00,459.00,402.00,687743.00,4856.57
898,1.00,460.00,401.90,676731.00,4761.48
900,1.00,461.00,402.13,747899.00,5144.32
902,1.00,462.00,401.96,757157.00,4801.26
904,1.00,463.00,403.31,792267.00,5260.27
906,1.00,464.00,405.82,673429.00,4574.47
908,1.00,465.00,406.82,719840.00,4729.53
910,1.00,466.00,406.27,658282.00,4337.37
912,1.00,467.00,405.13,548794.00,3964.28
914,1.00,468.00,404.55,467710.00,3282.84
916,1.00,469.00,405.01,753481.00,5102.99
918,1.00,470.00,405.57,845683.00,5194.07
920,1.00,471.00,406.64,611211.00,4036.90
922,1.00,472.00,404.02,927373.00,5947.76
924,1.00,473.00,404.39,699719.00,5109.06
926,1.00,474.00,403.27,699556.00,5092.47
928,1.00,475.00,403.64,648235.00,4742.73
930,1.00,476.00,403.48,588909.00,4090.47
932,1.00,477.00,402.81,718389.00,4863.80
934,1.00,478.00,401.62,774790.00,5048.32
936,1.00,479.00,400.66,674289.00,4813.32
938,1.00,480.00,401.51,690228.00,4848.63
940,1.00,481.00,401.58,885380.00,5397.42
942,1.00,482.00,394.89,981996.00,6763.34
944,1.00,483.00,383.92,695658.00,4995.29
946,1.00,484.00,375.90,705699.00,4911.51
948,1.00,485.00,366.55,579722.00,4618.84
950,1.00,486.00,360.46,570128.00,4115.02
952,1.00,487.00,353.21,797921.00,5311.26
954,1.00,488.00,348.04,800633.00,5254.30
956,1.00,489.00,343.32,818431.00,5519.72
958,1.00,490.00,337.97,891242.00,6201.37
960,1.00,491.00,334.80,831203.00,5890.93
962,1.00,492.00,331.08,726178.00,5223.26
964,1.00,493.00,327.01,504180.00,3689.41
966,1.00,494.00,322.30,853779.00,5941.52
968,1.00,495.00,319.87,861278.00,5831.61
970,1.00,496.00,317.18,559331.00,4063.07
972,1.00,497.00,313.35,975601.00,6437.14
974,1.00,498.00,310.92,1078216.00,6988.55
976,1.00,499.00,310.51,1091935.00,6618.33
978,1.00,500.00,308.61,679129.00,4845.23
980,1.00,501.00,306.23,948528.00,6357.27
982,1.00,502.00,302.64,1080663.00,6760.71
984,1.00,503.00,300.61,993188.00,6326.83
986,1.00,504.00,298.26,840811.00,6165.34
988,1.00,505.00,295.40,926908.00,6125.19
990,1.00,506.00,294.21,1059504.00,6396.29
992,1.00,507.00,292.46,564843.00,4092.45
994,1.00,508.00,290.22,432271.00,3159.74
